ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
19,200000,2,4,3,23,-1,0,-1,-1,-1,0,33561,42059,14008,35531,33071,65833,44797,46894,47146,18108,22070,11528,0
20,30000,1,1,2,43,1,-1,0,2,0,-1,11903,41619,9340,1296,53559,74872,23259,30956,587,4995,28847,4088,0
21,100000,2,3,3,60,2,0,-1,-1,2,-1,53454,36012,63966,2447,209,3134,10463,279,26081,3052,45965,37654,0
22,80000,1,2,1,41,-1,-1,1,0,1,-1,48991,77959,9178,66962,76681,79706,30932,1701,4903,15664,21057,26537,0
23,20000,1,4,3,33,-1,0,-1,3,-1,1,38656,61849,73791,11756,66184,73699,24007,26893,10804,6575,19562,44630,0
24,200000,1,1,1,28,1,0,-1,0,-1,0,78734,34259,47001,47739,56293,7678,12462,10953,23659,3040,43703,13525,0
25,50000,1,4,3,25,-1,1,3,-1,0,-1,32345,74016,7841,63906,7610,34307,29679,12427,6687,16124,11557,36503,0
26,100000,1,2,1,45,-1,-1,-1,-1,1,0,40929,23499,20278,3465,69781,30649,69,905,4083,32958,41903,49353,1
27,100000,1,3,3,59,-1,0,0,0,2,0,57461,70721,47507,5154,66736,46133,10205,14100,27352,31246,35058,5669,0
28,20000,1,2,1,57,-1,-1,-1,-1,0,-1,76099,59535,29883,61951,23756,32280,34907,7290,39875,20359,26521,917,0
29,200000,1,3,1,61,-1,2,-1,3,0,1,39130,24177,78466,55090,16444,10727,31995,39817,44286,36340,14986,40844,1
30,50000,2,3,2,25,0,0,0,0,1,1,71591,8810,29941,79359,6174,59161,43023,24632,35656,23200,18293,14188,0
31,80000,1,3,3,28,1,-1,0,1,-1,-1,45318,25316,3171,49703,33392,13933,24284,12018,26193,19091,6034,25780,0
32,10000,2,4,1,64,0,-1,-1,0,2,0,66723,68746,65287,51659,72710,62810,539,43537,19496,11992,33685,2893,1
33,50000,1,2,3,24,-1,-1,2,3,-1,-1,59116,41424,7539,60828,28437,40671,37917,36610,20015,21729,6996,17429,0
34,20000,2,4,1,61,0,-1,1,0,0,-1,41587,75371,56147,58892,46301,33250,21681,13122,43004,35912,42655,49480,0
35,100000,1,2,2,74,1,0,-1,0,0,2,40156,28630,77624,34619,29942,57810,33465,10567,27068,26923,40315,35897,0
36,80000,1,1,2,42,-1,-1,-1,2,-1,1,54164,39295,73801,29071,57364,47587,37387,17888,11333,42885,474,11878,0
37,50000,1,1,2,34,-1,3,1,2,-1,-1,10043,51323,78198,9925,57006,31205,36008,7348,9468,34551,17348,38512,0
38,10000,2,2,2,39,-1,-1,1,-1,1,0,13787,60538,77600,49813,51502,55411,28929,9873,49799,21449,41482,38407,1
39,10000,2,2,1,33,-1,1,-1,-1,-1,0,64008,10088,40665,76721,23030,3606,22293,36941,35474,37235,37779,3937,0
40,30000,2,2,3,55,2,-1,-1,-1,-1,-1,37556,26838,31826,52790,64321,58243,20667,11792,29316,7835,20961,43173,0
41,30000,2,2,2,24,0,-1,-1,-1,0,-1,34034,15309,19174,46581,10076,32985,29108,15833,15591,13989,8998,30600,0
42,150000,1,3,2,53,-1,3,-1,2,2,1,20191,74259,29417,45717,42816,72526,46385,29130,30937,6833,43319,14105,0
43,20000,1,4,2,42,1,1,-1,-1,-1,2,69324,24836,25702,43192,35804,17834,7264,40513,36120,33610,29641,48504,0
44,200000,1,3,3,21,-1,0,3,-1,0,1,15533,15668,11768,21776,30804,21384,14507,25190,31368,90,10823,37884,1
45,50000,2,4,1,31,-1,0,1,-1,-1,-1,15297,424,68993,23309,73872,29472,28418,12093,27328,21493,20055,36851,0
46,50000,1,4,1,36,-1,3,1,3,0,2,11347,52820,71321,70775,63638,2246,26162,26348,28590,49975,20134,26919,0
47,200000,2,4,1,24,0,0,-1,1,3,3,72498,67632,497,57410,19151,49703,13537,13553,41537,46006,46519,27502,0
48,150000,2,3,1,49,-1,-1,-1,0,-1,1,66580,79046,62430,7662,69355,25524,16346,41103,28715,41941,33856,23100,0
49,100000,2,2,3,59,-1,-1,-1,1,3,-1,5660,59211,45442,33371,62511,56400,24987,42531,2985,33433,10321,6503,0
50,100000,2,3,3,64,-1,0,0,1,2,0,60146,8515,2228,56402,23026,48114,18694,5279,44312,2077,30175,19487,0
51,150000,2,3,3,58,-1,0,-1,0,0,2,66816,8470,40826,27442,66495,16217,22259,16013,5219,26931,3556,18969,0
52,100000,1,4,2,44,0,1,-1,-1,1,-1,71828,58945,22446,37896,29257,50978,17925,11834,2187,10614,24347,28281,0
53,30000,2,1,3,72,1,-1,-1,1,2,-1,34926,40417,10844,16158,1875,16172,20886,36041,26908,26486,45628,48,0
54,50000,2,1,1,29,1,2,2,0,1,1,60138,51018,44845,51051,25950,40323,6392,36342,20346,8950,44341,29677,0
55,150000,1,3,3,28,0,0,0,1,-1,-1,28249,28182,33566,42669,49939,35663,35931,2286,24191,13128,33278,49709,0
56,50000,2,4,2,34,2,0,-1,0,1,2,41131,21170,38158,56607,27510,62303,5081,48570,15306,49901,18861,21932,0
57,200000,2,3,1,35,-1,-1,1,3,-1,0,43490,77685,71049,75285,48357,2647,8635,12773,14580,8523,43352,49707,0
58,10000,1,3,3,73,-1,3,1,0,2,0,44460,8172,66291,5333,66106,6407,3232,24989,42694,25806,17904,36006,1
59,30000,1,2,1,42,0,0,-1,0,-1,1,60372,11869,71777,63333,24260,59942,23020,4867,13990,24273,24808,49352,1
60,80000,1,4,1,57,-1,0,-1,1,0,-1,72765,70828,29993,69800,19657,4725,19854,2371,27349,43782,46098,29627,0
61,30000,2,1,3,35,0,2,1,-1,0,1,7574,18003,71783,56565,66942,10311,28426,25855,27702,20828,44939,22326,0
62,150000,1,1,3,26,-1,2,-1,-1,0,0,9089,624,35000,58043,22769,24801,36862,47311,49864,42649,48320,32606,0
63,80000,1,1,2,21,-1,-1,1,0,1,0,10030,56542,4040,31244,3544,32211,16104,36808,38182,19861,35181,26174,0
64,10000,1,3,3,40,0,2,-1,0,2,-1,16706,39481,74253,31991,3360,42388,36372,7523,26317,29416,14273,6401,0
65,150000,2,4,3,61,2,1,0,-1,-1,1,3127,79257,47202,61816,5069,29604,4693,24421,19123,14138,16206,14577,0
66,20000,1,2,3,56,-1,-1,-1,0,-1,-1,39464,65857,16911,49212,57278,61266,36834,15839,49308,10465,5035,29303,1
67,50000,2,1,1,22,-1,-1,0,1,0,0,3413,16696,12495,12368,6967,22642,5387,42429,44002,29356,26145,20713,0
68,10000,2,4,2,26,1,0,3,0,0,-1,68627,75854,25257,14131,75468,60624,2444,25787,20619,27628,34510,12537,0
69,50000,1,1,1,22,-1,0,0,0,-1,3,32827,9132,54733,48620,2360,61343,27362,17927,37406,46090,23347,19630,0
70,100000,2,2,3,23,-1,1,-1,-1,1,-1,19235,51445,66930,63493,61794,2,6311,39850,31653,12639,33612,19378,0
71,20000,2,4,2,27,-1,-1,-1,2,1,1,4419,9316,36504,75667,48475,64055,45235,32393,36770,44259,1688,46123,1
72,20000,1,3,3,40,1,1,2,1,-1,-1,26529,4629,58415,21424,29635,14871,2033,319,4849,9995,32753,32576,0
73,10000,2,3,1,69,1,1,1,0,0,-1,75470,11440,65428,78585,57418,4171,9393,8481,20412,3388,39219,43665,0
74,20000,1,1,1,61,0,0,-1,0,0,0,25535,79171,34410,14678,58522,9019,38615,42519,14451,29371,19649,15285,0
75,80000,2,1,3,74,-1,2,3,-1,-1,1,35741,6405,16206,4920,49924,49868,37049,4869,26294,33672,8821,14934,0
76,20000,2,4,2,61,-1,1,0,-1,3,0,11276,27647,50305,49287,464,52504,21625,7029,29454,18468,37409,2784,0
77,50000,1,2,1,71,-1,-1,-1,-1,-1,2,74309,78869,10500,38131,77667,23462,45987,47891,18417,40977,4064,49779,0
78,50000,1,1,3,25,2,1,0,-1,0,-1,33566,45078,8424,31143,64220,20959,18252,36458,43151,11833,3746,21245,0
79,150000,2,4,3,45,0,3,0,0,-1,3,20371,31807,24458,30494,10192,2223,16566,11948,33170,48860,19890,28579,0
80,50000,2,2,3,58,-1,-1,1,0,-1,-1,44431,66904,8923,69702,1876,53827,5489,4985,11855,1010,22967,13697,0
81,150000,1,1,2,38,0,3,-1,-1,-1,1,56595,67603,38123,25699,2179,12335,2330,6652,41180,37149,41547,27282,0
82,50000,2,1,3,21,0,-1,2,0,-1,-1,38721,55547,43628,33169,12882,68339,49417,11510,16540,1549,11424,34229,0
83,80000,2,4,3,45,3,0,1,-1,1,1,79650,751,37802,14059,356,66277,6376,13195,43740,40145,35874,31167,0
84,200000,2,1,1,37,1,1,0,1,0,2,17597,52421,7207,42077,16898,48900,41908,17418,35741,17696,32587,2908,1
85,150000,2,3,3,66,-1,1,-1,-1,0,0,58620,74367,77776,65498,72518,73690,40048,24810,40916,15176,31051,24670,0
86,30000,1,2,2,35,1,1,3,0,2,0,23718,73204,26870,74441,61010,18804,37798,25039,4919,15595,37185,28477,0
87,100000,1,2,3,25,0,0,0,0,-1,1,45666,23663,9438,26071,62436,66633,46907,49309,17735,17969,20211,22552,1
88,10000,1,3,2,37,-1,0,2,-1,2,2,47860,28410,40984,11298,73968,42998,12555,9748,45453,22415,18228,20735,1
89,50000,1,4,3,41,0,0,-1,0,-1,1,57120,20720,21686,54045,59871,78183,20241,46917,17937,2182,30236,16049,0
90,20000,1,3,3,73,0,0,3,1,-1,2,34501,30640,48211,37041,3742,72502,39533,28550,27911,36990,42069,8827,0
91,200000,1,3,3,43,-1,0,1,0,0,0,64372,20878,19326,26696,72462,42371,39781,48171,14202,45428,30903,45833,0
92,50000,2,2,2,63,0,1,2,-1,2,0,71670,74489,69431,69583,49258,7753,30081,20079,47603,24762,30908,26149,0
93,20000,1,4,1,30,0,-1,-1,-1,-1,0,20162,75674,72598,6241,59311,18880,27944,43189,40351,21990,20239,156,0
94,100000,2,1,2,37,-1,0,0,0,1,0,10291,70762,22085,77248,42165,37332,41155,44017,46902,27781,17836,45048,1
95,100000,2,3,1,21,-1,-1,-1,1,-1,0,64276,72164,73338,63492,54352,10919,12151,35473,39270,7682,4681,39732,0
96,100000,2,3,2,57,0,0,-1,0,0,0,60263,34585,37007,65460,18798,31960,15583,29344,31969,32526,47331,6403,0
97,20000,1,4,3,68,-1,-1,-1,-1,0,1,58137,23490,69270,50980,45502,76997,12306,34512,17776,36281,37582,36855,0
98,50000,2,3,3,27,2,0,3,0,0,2,5678,38821,27135,37899,23660,44819,42673,21118,12942,43458,23800,44779,1
99,100000,1,4,1,32,-1,-1,0,-1,2,-1,62564,66042,77273,31565,30226,65811,864,45506,36113,15977,1310,42878,0
100,80000,2,1,1,60,-1,-1,-1,1,2,0,43898,48580,59284,39608,30067,29285,46551,25619,43403,40754,6742,25447,0
101,150000,2,4,2,70,-1,0,3,2,-1,-1,63310,26143,6553,12059,22457,13223,22633,27999,15347,25013,5278,25641,0
102,20000,1,1,2,21,0,0,1,0,0,0,9936,50458,1595,16170,60526,32814,10540,41356,41997,12566,33324,33286,0
103,20000,2,4,1,40,0,0,2,2,1,-1,26360,35915,4447,13639,15752,8193,6644,5219,39225,18624,7652,33754,0
104,50000,2,3,1,64,0,-1,2,-1,1,1,60396,77855,15548,52560,34697,5763,41532,15400,9298,27672,46583,113,1
105,20000,2,1,2,51,-1,2,1,-1,0,1,18769,2662,20261,39172,1630,182,33191,33447,18834,12138,35761,32034,0
106,20000,2,3,1,24,1,-1,-1,-1,-1,1,28009,19126,61530,79168,50275,19348,39273,42876,24613,45059,30022,48152,0
107,100000,1,1,1,46,-1,2,3,1,1,0,42868,2155,39890,67020,18966,71746,30528,31847,41535,31413,23079,39927,1
108,50000,2,4,1,32,-1,1,-1,0,-1,0,40819,18316,76551,77141,28265,52401,12154,34192,8165,36396,31297,22381,0
109,100000,2,4,1,42,-1,-1,0,-1,0,0,26256,22705,56681,76354,78668,10393,42270,33493,16451,46240,23133,31538,0
110,150000,1,4,3,21,-1,0,1,-1,-1,0,33439,63198,58650,61493,59607,70890,10947,36814,45529,49312,45857,7694,0
111,200000,2,2,3,21,-1,3,-1,1,0,1,57332,14089,76708,55610,21023,75310,11613,36174,48788,14784,12555,13672,1
112,150000,2,2,1,23,-1,0,0,-1,-1,2,13993,38758,72482,4040,16794,31719,44619,7179,29987,39271,43580,46663,0
113,200000,2,1,2,73,-1,-1,-1,-1,0,0,73886,9858,72040,1459,57101,79067,4499,21895,10959,33532,20298,36008,0
114,100000,2,2,3,32,1,0,-1,-1,0,-1,410,29682,7767,60402,49072,52934,8038,13660,16641,48663,30665,4114,0
115,150000,1,4,2,74,-1,0,-1,-1,1,-1,60596,27628,76207,24035,16846,22288,29164,6770,41488,46943,1528,36919,0
116,50000,2,2,2,41,1,1,2,-1,-1,-1,23416,66897,18238,67489,17789,13726,21936,43147,5056,47148,7282,25664,0
117,10000,1,2,3,33,0,2,-1,0,-1,0,25936,61148,38768,51938,63845,46919,3793,42787,518,20932,5564,33004,0
118,100000,2,3,2,33,-1,-1,2,0,1,-1,37341,19113,66685,47259,66845,66276,15331,41480,26561,13802,12710,21896,0
119,200000,2,1,2,73,0,-1,0,0,-1,0,3814,29311,55225,72462,27775,33159,10570,43919,19008,26012,3942,8998,1
120,80000,2,1,1,61,0,-1,0,1,0,-1,45701,65966,31266,10527,10870,4812,32767,38669,38758,3274,3092,44774,0
121,200000,1,1,1,38,-1,3,1,2,2,-1,77240,64245,44234,20439,73386,7830,23816,8677,31275,36125,47253,38421,0
122,80000,2,2,1,53,2,0,0,-1,0,1,35717,56991,31960,24678,6137,25158,21913,4185,3729,17495,44588,37622,0
123,20000,2,4,3,26,0,2,-1,-1,-1,3,35037,33909,66247,54735,77837,5720,4704,12381,48798,4788,23925,17178,0
124,150000,1,3,1,45,2,0,-1,-1,0,-1,81,64122,7100,14647,78048,67240,18422,11475,19662,3289,21982,48602,0
125,80000,1,1,2,43,1,1,0,0,0,-1,33576,49256,53134,28956,18236,51354,47494,15569,27775,18753,12074,14805,0
126,200000,1,2,2,44,-1,-1,0,-1,1,-1,4483,71365,25154,79308,33504,71086,15773,22572,5602,45921,31564,13641,1
127,20000,1,4,2,57,-1,2,-1,1,-1,-1,50655,14955,3611,61759,47644,61679,8876,7377,46158,44532,44474,46404,0
128,10000,2,3,2,46,-1,0,0,0,-1,-1,78344,43281,36280,21249,61801,31454,19081,1582,21813,45263,27827,26691,0
129,50000,2,3,2,24,1,1,0,1,-1,-1,8237,79560,47109,96,60506,52366,38848,2004,3753,49910,29643,29626,0
130,50000,2,1,3,58,2,-1,1,-1,1,2,37338,63509,1283,77117,13277,18595,3932,658,43216,22657,46402,11214,0
131,50000,2,1,2,55,0,0,0,0,1,0,69300,11754,12659,52947,68744,46617,21051,38182,34625,45963,19973,36855,1
132,80000,1,4,3,69,-1,0,2,1,0,-1,9400,42356,28257,59530,44127,73738,31618,28398,25434,3078,13270,27573,0
133,10000,2,2,2,31,-1,-1,0,-1,0,-1,53117,77873,64132,11330,10600,50132,41005,30574,8187,14386,31130,1784,1
134,80000,2,4,3,56,1,0,2,-1,1,0,57967,39497,70119,40624,7638,64973,21151,41865,24546,826,12501,23866,1
135,150000,2,1,3,45,2,0,0,-1,-1,0,73689,23424,70511,62277,1609,28250,8694,36864,31558,44319,18094,42181,0
136,80000,2,4,2,40,-1,-1,0,0,0,-1,356,7042,31518,6307,69372,20211,30430,36156,26056,6598,27968,27273,0
137,10000,1,2,2,21,-1,-1,-1,2,3,-1,70172,19417,56202,46232,70077,24199,23875,8803,33369,27316,19147,37909,0
138,10000,2,3,2,50,-1,0,0,-1,0,-1,43479,29623,36927,14573,32726,15811,12829,23751,32024,34467,12989,48604,1
139,150000,2,3,2,24,-1,-1,2,0,-1,-1,56206,47258,13501,31699,12316,7596,49743,48668,48775,41906,46788,4518,0
140,10000,2,3,1,43,1,0,-1,1,-1,-1,44388,45070,26403,65912,37866,41948,12841,10651,22254,30929,11927,15185,0
141,200000,1,3,1,55,0,0,-1,0,0,0,7015,43606,31731,50568,75696,76716,16751,31145,37942,20447,44149,26433,1
142,10000,1,1,3,62,0,-1,1,-1,-1,0,16862,11340,1035,41563,65140,21720,16530,17949,24477,10316,22005,26148,0
143,50000,2,1,3,42,0,-1,0,3,0,0,24330,21663,55890,34641,69170,59120,42919,33439,37494,14537,10462,13269,0
144,200000,2,2,1,51,-1,1,-1,-1,0,3,38268,19055,40162,1289,64352,10085,14579,42623,22194,30446,9968,17863,0
145,200000,2,2,3,21,-1,-1,0,-1,2,0,6205,15592,62592,32128,62994,31936,49109,24753,15480,6650,8954,24019,0
146,150000,1,2,2,24,1,0,0,2,0,2,8852,65012,78341,68227,41750,54671,23673,29572,49181,47317,7088,11371,0
147,30000,2,2,3,39,0,0,0,-1,0,2,59489,68728,46905,55242,8003,18861,33470,29169,17772,33875,25190,20388,0
148,30000,2,4,3,50,-1,3,1,1,-1,1,70000,38894,5139,23860,841,23338,14750,39216,5745,40008,14377,5619,0
149,10000,2,2,3,21,-1,-1,-1,-1,-1,-1,12550,38235,27768,2291,21110,59462,2308,4436,29227,13705,13336,37770,1
150,200000,1,3,1,68,-1,1,0,1,-1,0,60894,38597,75625,40832,77639,38129,35824,20257,24714,45627,8440,25487,1
151,30000,2,3,1,39,-1,0,1,0,-1,-1,46870,217,73227,60936,12767,62059,11754,4486,41517,10871,5165,34737,0
152,30000,2,3,3,72,0,-1,1,0,0,0,76751,70435,35686,71610,38433,69479,11574,22962,13356,28529,353,8662,0
153,10000,1,4,2,41,0,-1,-1,0,0,-1,72633,61629,3454,44232,41873,53119,9921,35634,504,12657,37382,29604,0
154,30000,1,2,3,42,0,0,-1,-1,0,-1,57965,73951,71728,49491,70993,9338,10047,15317,17702,22337,34970,38232,0
155,80000,2,3,1,70,1,-1,0,-1,-1,1,2581,48847,63378,10164,78850,69134,48339,33198,40114,19288,11307,2167,0
156,20000,1,3,2,22,0,-1,2,1,-1,0,65494,23163,27603,74793,79345,46535,20912,18164,45505,14899,582,42785,0
157,150000,2,3,3,26,-1,2,1,1,1,3,10342,57741,74477,72344,77050,14336,28733,19746,23230,235,37930,10165,0
158,20000,1,3,1,41,-1,-1,0,1,0,0,61452,36210,46074,4496,29583,69823,1264,19211,4612,10374,10948,48433,0
159,10000,1,1,2,53,1,0,3,2,-1,-1,53580,10520,55109,58357,64136,35529,25408,40029,25536,34616,8124,8608,0
160,50000,2,2,3,39,0,1,0,2,1,-1,44316,29376,63889,77914,26080,45239,32209,25030,7031,41666,44602,9285,0
161,150000,2,2,1,47,-1,1,1,1,0,0,66476,8544,49813,29728,30543,60555,22627,27756,7839,11130,47603,37336,0
162,10000,2,4,2,57,0,-1,1,2,-1,-1,46075,10965,15411,36286,14555,33613,38420,16940,9599,19287,3400,25098,0
163,200000,1,1,3,49,0,1,2,-1,-1,3,64645,75441,6110,11876,17446,16519,38791,43454,13742,33842,28614,22902,0
164,50000,2,4,2,48,1,0,3,1,0,-1,12832,79510,75018,49635,2514,6593,18693,26433,36573,36486,45560,38808,1
165,20000,2,3,2,54,2,-1,0,1,0,-1,33052,70785,17089,41867,59645,47083,14250,30309,1288,12914,31061,7720,1
166,10000,2,4,2,21,0,-1,-1,-1,1,-1,55122,26510,35515,50962,50020,48712,36405,10979,8246,6158,1713,23846,0
167,200000,2,3,1,68,1,-1,0,2,-1,2,59284,20139,17687,16213,76448,21179,29585,14100,28539,14686,37175,30180,0
168,150000,2,3,3,45,-1,-1,2,-1,0,0,69304,52590,77318,2565,1512,62995,13732,15396,5950,49932,43343,34006,1
169,150000,1,2,2,41,0,-1,1,0,0,1,41232,61188,24646,78647,77198,76365,8398,23625,2694,28068,33412,37683,0
170,100000,2,2,2,54,1,-1,-1,-1,0,-1,52833,13599,16947,3672,69912,78649,3823,15079,11946,27523,42629,16117,0
171,200000,2,2,2,46,0,0,-1,0,-1,0,40402,64485,42547,12271,66590,53358,29318,10905,44935,2826,29447,42468,0
172,80000,1,2,1,56,0,1,0,0,0,1,57148,61910,26324,8451,14139,16763,26279,40788,2390,25535,24429,9462,0
173,30000,2,2,2,55,2,0,0,0,-1,-1,20298,26821,8619,56594,57393,55217,44768,43721,29375,31074,10751,40830,0
174,50000,2,1,1,43,-1,0,-1,1,3,1,37947,58543,63256,59317,1935,74395,24993,47588,9458,13325,38106,31860,0
175,200000,2,2,1,37,-1,2,1,1,0,0,29347,17952,18738,71177,13509,55905,2854,37025,25526,45777,19048,24893,0
176,100000,2,4,2,67,0,2,-1,1,0,-1,50549,20200,50094,8209,31783,76269,37307,11076,30383,34695,42468,20417,0
177,30000,2,3,2,62,1,2,0,-1,0,-1,59030,12755,11872,44653,39418,55489,10322,49200,39078,33056,18934,9163,0
178,30000,1,2,1,32,2,-1,-1,0,2,-1,77200,40921,53920,74569,60492,7204,35758,42169,5040,34202,32657,47871,0
179,10000,1,1,1,64,0,-1,2,1,0,0,30988,41089,33751,39972,71359,34879,29199,42880,9611,44015,2579,13329,1
180,30000,1,4,2,40,1,0,1,0,-1,0,28383,58305,74485,72170,39458,50668,17378,5459,23514,9647,720,5216,0
181,80000,2,4,1,59,1,-1,-1,0,2,0,5381,48736,4259,57922,30708,71607,39173,17890,49362,17955,40243,28020,0
182,150000,1,3,1,47,-1,-1,0,-1,2,-1,14526,57417,58949,21409,76384,33926,14845,36522,2486,9492,23995,38464,1
183,100000,2,4,2,62,1,-1,-1,-1,-1,0,74153,56219,3045,8070,30325,53931,5530,38376,16305,20195,36525,18714,1
184,30000,2,4,2,57,-1,3,3,3,-1,-1,52719,56334,4682,19908,59437,49516,28041,47973,26361,37521,8215,30531,0
185,10000,2,4,3,40,-1,-1,1,1,3,0,79530,66129,8220,243,50449,43643,41620,7969,21907,24921,12926,30827,0
186,80000,1,4,2,72,-1,0,1,-1,0,2,4760,8678,33507,23936,22713,3699,9971,2212,25935,27394,24247,49407,1
187,20000,1,1,2,31,-1,-1,-1,0,0,0,52146,66660,69128,29432,34917,60561,9567,18603,25969,7781,546,25771,0
188,150000,1,3,2,48,-1,1,-1,0,-1,-1,16951,19251,63090,56079,18894,15289,29893,40381,40453,4959,43326,34728,0
189,150000,2,2,3,22,-1,0,0,0,-1,1,57022,77222,75374,33262,53439,13944,35430,21073,27384,28739,263,35598,0
190,100000,1,4,1,44,-1,-1,-1,0,0,-1,57790,24427,47021,42062,25965,291,17125,46942,19302,19566,35396,410,1
191,150000,2,1,2,36,-1,3,1,0,-1,0,77101,2507,13819,48412,57735,59882,15032,9208,7076,20547,3459,1415,0
192,30000,1,3,2,32,0,1,0,3,-1,-1,10761,15629,9486,38586,47390,22510,40093,868,39839,46860,39331,2571,0
193,10000,1,2,3,36,1,1,-1,2,-1,1,17028,74285,3888,63341,59917,66459,49835,5639,864,15063,30452,4429,0
194,150000,2,3,3,56,2,3,-1,2,-1,0,4517,3367,40845,77637,37539,67925,44363,11542,16070,18568,5974,5996,0
195,150000,2,1,3,22,1,0,3,1,-1,0,54826,24250,22161,61856,23150,29741,25470,41695,8744,18609,43762,36307,0
196,20000,1,1,1,45,0,1,3,-1,2,2,20636,44825,27721,5170,55449,67478,2060,39765,31324,20634,33350,11911,0
197,20000,1,1,3,49,1,-1,-1,0,-1,0,41385,68186,40414,4281,63651,64022,27281,36264,25501,16940,32976,13887,0
198,50000,1,4,1,48,-1,0,-1,0,0,-1,3041,57871,8212,13223,206,18228,22919,40928,18450,15701,10630,4477,0
199,80000,2,1,2,30,-1,-1,-1,1,-1,3,20078,7553,54038,29893,71587,47343,9375,14060,36940,43529,35893,40665,1
200,30000,2,2,2,65,0,-1,-1,2,0,-1,11445,70352,58256,55369,9531,22366,1013,9376,34033,209,1515,14966,0
201,150000,1,4,2,43,0,0,2,0,0,0,14645,43743,61758,8304,19964,63924,9810,28802,44053,37552,46800,12812,0
202,200000,1,3,3,52,1,-1,1,-1,0,0,32694,10648,32305,76555,20761,60615,32894,2122,45542,37520,33826,5641,0
203,150000,2,2,2,51,0,0,3,-1,2,2,28434,46018,29281,49587,46847,68758,32209,34408,36411,18878,19408,2304,0
204,10000,1,4,3,39,-1,0,2,0,-1,0,67043,43493,31942,69436,8686,37936,35759,48200,18332,27685,5408,9883,0
205,50000,2,1,1,35,2,0,1,-1,0,1,75516,66714,6801,39077,68447,61158,4197,8456,48169,40135,1563,34272,0
206,80000,2,3,2,53,0,-1,0,2,1,1,65023,45600,38250,41178,32640,30680,8756,10038,13841,30969,7201,11734,0
207,200000,2,1,1,37,1,-1,2,0,1,-1,43733,44169,34370,78852,5056,41371,38199,1513,36871,43934,423,34836,0
208,50000,2,2,3,72,1,0,0,3,3,1,1664,53940,45632,42307,13164,30222,32587,31088,17158,42,37322,41301,0
209,100000,2,2,3,56,-1,0,-1,-1,-1,0,59120,57808,9346,38537,2431,30100,21260,17577,20920,36721,46823,47100,0
